Step,Seconds,UAV_ID,UAV_X,UAV_Y,UAV_Z,Yaw,VehicleID,X,Y,Speed
63,31.5,1,1488.73,846.56,0.0,0,,,,
63,31.5,2,1524.62,718.15,0.0,0,,,,
64,32.0,0,1458.79,985.86,0.0,0,,,,
64,32.0,1,1488.73,846.56,0.0,0,,,,
64,32.0,2,1524.62,718.15,0.0,0,,,,
65,32.5,0,1458.79,985.86,0.0,0,,,,
65,32.5,1,1488.73,846.56,0.0,0,,,,
65,32.5,2,1524.62,718.15,0.0,0,,,,
66,33.0,0,1458.79,985.86,0.0,0,,,,
66,33.0,1,1488.73,846.56,0.0,0,,,,
66,33.0,2,1524.62,718.15,0.0,0,,,,
67,33.5,0,1458.79,985.86,0.0,0,,,,
67,33.5,1,1488.73,846.56,0.0,0,,,,
67,33.5,2,1524.62,718.15,0.0,0,,,,
68,34.0,0,1458.79,985.86,0.0,0,,,,
68,34.0,1,1488.73,846.56,0.0,0,,,,
68,34.0,2,1524.62,718.15,0.0,0,,,,
69,34.5,0,1458.79,985.86,0.0,0,,,,
69,34.5,1,1488.73,846.56,0.0,0,,,,
69,34.5,2,1524.62,718.15,0.0,0,,,,
70,35.0,0,1458.79,985.86,0.0,0,,,,
70,35.0,1,1488.73,846.56,0.0,0,,,,
70,35.0,2,1524.62,718.15,0.0,0,,,,
71,35.5,0,1458.79,985.86,0.0,0,,,,
71,35.5,1,1488.73,846.56,0.0,0,,,,
71,35.5,2,1524.62,718.15,0.0,0,,,,
72,36.0,0,1458.79,985.86,0.0,0,,,,
72,36.0,1,1488.73,846.56,0.0,0,,,,
72,36.0,2,1524.62,718.15,0.0,0,,,,
73,36.5,0,1458.79,985.86,0.0,0,,,,
73,36.5,1,1488.73,846.56,0.0,0,,,,
73,36.5,2,1524.62,718.15,0.0,0,,,,
74,37.0,0,1458.79,985.86,0.0,0,,,,
74,37.0,1,1488.73,846.56,0.0,0,,,,
74,37.0,2,1524.62,718.15,0.0,0,,,,
75,37.5,0,1458.79,985.86,0.0,0,,,,
75,37.5,1,1488.73,846.56,0.0,0,,,,
75,37.5,2,1524.62,718.15,0.0,0,,,,
76,38.0,0,1458.79,985.86,0.0,0,,,,
76,38.0,1,1488.73,846.56,0.0,0,,,,
76,38.0,2,1524.62,718.15,0.0,0,,,,
77,38.5,0,1458.79,985.86,0.0,0,,,,
77,38.5,1,1488.73,846.56,0.0,0,,,,
77,38.5,2,1524.62,718.15,0.0,0,,,,
78,39.0,0,1458.79,985.86,0.0,0,,,,
78,39.0,1,1488.73,846.56,0.0,0,,,,
78,39.0,2,1524.62,718.15,0.0,0,,,,
